id,inputMask,inputPattern,outputMask,outputPattern
R296,#.#### - ####/##.####[?],W.JJJJ - NNNN/QQ.ZZZZ[?],um ####/um ####,um JJJJ/um ZZZZ
R297,#.#### - ##.[####][?],N.JJJJ - QQ.[ZZZZ][?],um ####/um ####,um JJJJ/um ZZZZ
R298,####-####,JJJJ-ZZZZ,####/####,JJJJ/ZZZZ
R299,#.#### - ##.#### = Nr. #-###,P.JJJJ - NN.ZZZZ = Nr. Q-WWW,####/####,JJJJ/ZZZZ
R300,Nachgewiesen #### - ####,Nachgewiesen JJJJ - ZZZZ,####/####,JJJJ/ZZZZ
R301,# v. Chr.,J v. Chr.,-#,-J
R302,## v. Chr.,JJ v. Chr.,-##,-JJ
R303,### v. Chr.,JJJ v. Chr.,-###,-JJJ
R304,#### v. Chr.,JJJJ v. Chr.,-####,-JJJJ
R305,##### v. Chr.,JJJJJ v. Chr.,-#####,-JJJJJ
R306,###### v. Chr.,JJJJJJ v. Chr.,-######,-JJJJJJ
R307,####### v. Chr.,JJJJJJJ v. Chr.,-#######,-JJJJJJJ
R308,######## v. Chr.,JJJJJJJJ v. Chr.,-########,-JJJJJJJJ
R309,######### v. Chr.,JJJJJJJJJ v. Chr.,-#########,-JJJJJJJJJ
R310,vor # Mio. Jahren,vor J Mio. Jahren,-#000000,-J000000
R311,vor ## Mio. Jahren,vor JJ Mio. Jahren,-##000000,-JJ000000
R312,vor ### Mio. Jahren,vor JJJ Mio. Jahren,-###000000,-JJJ000000
R313,vor #### Mio. Jahren,vor JJJJ Mio. Jahren,-####000000,-JJJJ000000
R314,in # Mio. Jahren,in J Mio. Jahren,#000000,J000000
R315,in ## Mio. Jahren,in JJ Mio. Jahren,##000000,JJ000000
R316,in ### Mio. Jahren,in JJJ Mio. Jahren,###000000,JJJ000000
R317,in #### Mio. Jahren,in JJJJ Mio. Jahren,####000000,JJJJ000000
R318,vor # Mrd. Jahren,vor J Mrd. Jahren,-#000000000,-J000000000
R319,vor ## Mrd. Jahren,vor JJ Mrd. Jahren,-##000000000,-JJ000000000
R320,vor ### Mrd. Jahren,vor JJJ Mrd. Jahren,-###000000000,-JJJ000000000
R321,vor #### Mrd. Jahren,vor JJJJ Mrd. Jahren,-####000000000,-JJJJ000000000
R322,in # Mrd. Jahren,in J Mrd. Jahren,#000000000,J000000000
R323,in ## Mrd. Jahren,in JJ Mrd. Jahren,##000000000,JJ000000000
R324,in ### Mrd. Jahren,in JJJ Mrd. Jahren,###000000000,JJJ000000000
R325,in #### Mrd. Jahren,in JJJJ Mrd. Jahren,####000000000,JJJJ000000000
R326,vor # Billionen Jahren,vor J Billionen Jahren,-#000000000000,-J000000000000
R327,vor ## Billionen Jahren,vor JJ Billionen Jahren,-##000000000000,-JJ000000000000
R328,vor ### Billionen Jahren,vor JJJ Billionen Jahren,-###000000000000,-JJJ000000000000
R329,vor #### Billionen Jahren,vor JJJJ Billionen Jahren,-####000000000000,-JJJJ000000000000
R330,in # Billionen Jahren,in J Billionen Jahren,#000000000000,J000000000000
R331,in ## Billionen Jahren,in JJ Billionen Jahren,##000000000000,JJ000000000000
R332,in ### Billionen Jahren,in JJJ Billionen Jahren,###000000000000,JJJ000000000000
R333,in #### Billionen Jahren,in JJJJ Billionen Jahren,####000000000000,JJJJ000000000000
R334,###0er Jahre,JJJ0er Jahre,###0/###9,JJJ0/JJJ9
R335,##.####,MM.JJJJ,####-##,JJJJ-MM
R336,#### – ####,JJJJ – ZZZZ,####/####,JJJJ/ZZZZ
R337,MM – MM ####,MM – YY JJJJ,####-##/####-##,JJJJ-MM/JJJJ-YY
R338,MM #### – MM ####,MM JJJJ – YY ZZZZ,####-##/####-##,JJJJ-MM/ZZZZ-YY
R339,##. – ##. MM ####,TT. – XX. MM JJJJ,####-##-##/####-##-##,JJJJ-MM-TT/JJJJ-MM-XX
R340,##-##-####,TT-MM-JJJJ,####-##-##,JJJJ-MM-TT
R341,"####,####,####","JJJJ,XXXX,ZZZZ",####/####,JJJJ/ZZZZ
R342,"####,MM-####,MM","JJJJ,MM-ZZZZ,YY",####-##/####-##,JJJJ-MM/ZZZZ-YY
R343,"#### – ####, ####","JJJJ – XXXX, ZZZZ",####/####,JJJJ/ZZZZ
R344,"####, #### – ####","JJJJ, XXXX – ZZZZ",####/####,JJJJ/ZZZZ
R345,"-####,##(MM)","-JJJJ,TT(MM)",-####-##-##,-JJJJ-MM-TT
R346,"-####,MM","-JJJJ,MM",-####-##,-JJJJ-MM
